,model,n,d,mtry,n_estimators,max_depth,n_jobs,time,score
0,ScikitLearn,1000,,12,400,8,4,249031458,0.05618954766467818
1,biosphere,1000,,12,400,8,4,43256791,0.05530004549897814
2,ScikitLearn,2000,,12,400,8,4,281306833,0.0564183077966114
3,biosphere,2000,,12,400,8,4,78864959,0.05732291984423724
4,ScikitLearn,4000,,12,400,8,4,369209333,0.05186905044128443
5,biosphere,4000,,12,400,8,4,147667750,0.04623626503285023
6,ScikitLearn,8000,,12,400,8,4,549510333,0.05868711790432486
7,biosphere,8000,,12,400,8,4,302142416,0.057717105338727856
8,ScikitLearn,16000,,12,400,8,4,982676583,0.04926577427464962
9,biosphere,16000,,12,400,8,4,622781167,0.04782685692950593
10,ScikitLearn,32000,,12,400,8,4,1988765167,0.04650853651092984
11,biosphere,32000,,12,400,8,4,1346159458,0.046628096235848376
12,ScikitLearn,64000,,12,400,8,4,4085773250,0.04552719517469085
13,biosphere,64000,,12,400,8,4,2829258584,0.04551849847009572
14,ScikitLearn,128000,,12,400,8,4,8652249958,0.04565848814896534
15,biosphere,128000,,12,400,8,4,6428883417,0.04732423133176235
16,ScikitLearn,256000,,12,400,8,4,18768727375,0.04586711334142733
17,biosphere,256000,,12,400,8,4,15425631333,0.04581608128483531
18,ScikitLearn,512000,,12,400,8,4,44996476833,0.042705852610841345
19,biosphere,512000,,12,400,8,4,38616492125,0.04225054005082096
20,ScikitLearn,1024000,,12,400,8,4,107714229375,0.04144302569690194
21,biosphere,1024000,,12,400,8,4,101245986541,0.041674499615277937
22,ScikitLearn,2048000,,12,400,8,4,243740229250,0.04339897511116601
23,biosphere,2048000,,12,400,8,4,230163883834,0.043368985264681206
24,ScikitLearn,4096000,,12,400,8,4,494566249208,0.044046394239413304
25,biosphere,4096000,,12,400,8,4,585023775083,0.04422560207356711
